success,ref_mic,error_mic,noise_type,noise_reduction_db,convergence_time_s,final_mse
True,a_pillar_right,center_cabin,road_front,5.222853492167356,0.22825,0.06923060443683954
True,a_pillar_right,rearview_mirror,road_front,1.3584222861421353,0.439125,0.1260130473937844
True,under_driver_seat,driver_headrest,road_front,6.458802408038757,0.1490625,0.013744716552052
True,under_driver_seat,driver_ear_left,road_front,4.205975784436897,0.203625,0.02221712127856876
True,under_driver_seat,driver_ear_right,road_front,6.816163988310995,0.335875,0.03840466137638265
True,under_driver_seat,passenger_headrest,road_front,2.433963028785227,0.0921875,0.07365463080229907
True,under_driver_seat,center_cabin,road_front,4.162903008996114,0.1350625,0.1530160566019678
True,under_driver_seat,rearview_mirror,road_front,0.3027860620233953,0.153,0.09472074238217186
True,floor_front_left,driver_headrest,road_front,2.7410037488978216,0.036625,0.04611688451377171
True,floor_front_left,driver_ear_left,road_front,4.3066980541253095,0.2116875,0.028114172511943914
True,floor_front_left,driver_ear_right,road_front,7.118602871466986,0.2038125,0.012216305085407348
True,floor_front_left,passenger_headrest,road_front,3.6545565851627106,0.14925,0.0440728633527943
True,floor_front_left,center_cabin,road_front,5.127316379832095,0.408125,0.03770939162497409
True,floor_front_left,rearview_mirror,road_front,-0.8233498680854092,0.112625,0.134976403088951
True,floor_front_right,driver_headrest,road_front,7.875511866236859,0.04225,0.015498162374639732
True,floor_front_right,driver_ear_left,road_front,4.058581990438984,0.078875,0.009335673100025858
True,floor_front_right,driver_ear_right,road_front,6.099573838945341,0.091125,0.030654653981095938
True,floor_front_right,passenger_headrest,road_front,3.8078002472934354,0.216375,0.032513522959440044
True,floor_front_right,center_cabin,road_front,3.032342671620976,0.1509375,0.03765146850660027
True,floor_front_right,rearview_mirror,road_front,-1.525334275676629,0.146625,0.15221598176839035
True,firewall_center,driver_headrest,road_rear,2.6009003948525526,0.514625,0.021603079108788087
True,firewall_center,driver_ear_left,road_rear,1.7735844634193985,0.252375,0.08273494355662404
True,firewall_center,driver_ear_right,road_rear,0.654237852316675,0.4299375,0.11466160988209187
True,firewall_center,passenger_headrest,road_rear,3.2899397921740707,0.4223125,0.021500214848756884
True,firewall_center,center_cabin,road_rear,2.50711171067358,0.27025,0.030429690391110632
True,firewall_center,rearview_mirror,road_rear,0.6134205735528363,0.5070625,0.09693042982673583
True,firewall_driver,driver_headrest,road_rear,1.4150996838703351,0.1179375,0.033497179640520035
True,firewall_driver,driver_ear_left,road_rear,0.47770485238723515,3.0,0.08131671396207694
True,firewall_driver,driver_ear_right,road_rear,0.8173976273338646,0.2565625,0.12833669430698097
True,firewall_driver,passenger_headrest,road_rear,1.6911848759328567,0.218875,0.03545746287304043
True,firewall_driver,center_cabin,road_rear,0.3403794791697483,0.261625,0.08451275207399075
True,firewall_driver,rearview_mirror,road_rear,2.9121177223861716,0.364125,0.042118591613707165
True,dashboard,driver_headrest,road_rear,-2.818170714492625,0.2565625,0.10617116865433246
True,dashboard,driver_ear_left,road_rear,0.7298732333527789,0.656125,0.07606146611768745
True,dashboard,driver_ear_right,road_rear,-2.7757104236001613,0.4155,0.1632013231622333
True,dashboard,passenger_headrest,road_rear,-2.95719099957255,0.6713125,0.10214627971384281
True,dashboard,center_cabin,road_rear,0.6445743794402142,0.05375,0.07388672648210298
True,dashboard,rearview_mirror,road_rear,-2.5574416459235887,0.0846875,0.20624845605436093
